"","pri2","pri23","pri34","pri4","pos2","pos23","pos34","pos4","format2","format3","cred","info","priconfi","posconfi","negotiator","education","male","age","children","vulnerable","emerging","exporter","developed","emiter","mba"
"1",0,0.15,0.75,0.1,0,0.25,0.75,0,0,0,5,5,6,6,1,"d",1,40,3,1,0,0,0,0,0
"2",0.172413793103448,0.241379310344828,0.275862068965517,0.310344827586207,0.181818181818182,0.236363636363636,0.272727272727273,0.309090909090909,0,0,4,5,5,4,1,"e",1,33,2,1,0,0,0,0,0
"3",0,0,1,0,0,0.391304347826087,0.391304347826087,0.217391304347826,0,0,5,5,6,6,1,"g",1,45,0,1,0,0,0,0,0
"4",0.0512820512820513,0.128205128205128,0.384615384615385,0.435897435897436,0,0.288888888888889,0.311111111111111,0.4,0,0,6,5,4,6,1,"g",0,NA,NA,0,0,0,1,0,0
"5",0,1,0,0,0.210526315789474,0.789473684210526,0,0,0,0,6,5,4,5,1,"e",1,28,0,1,0,0,0,0,0
"6",0.0172413793103448,0.224137931034483,0.344827586206897,0.413793103448276,0.027027027027027,0.27027027027027,0.351351351351351,0.351351351351351,0,0,5,4,6,6,1,"g",1,35,2,0,1,1,0,1,0
"7",0.185185185185185,0.407407407407407,0.296296296296296,0.111111111111111,0.192307692307692,0.461538461538462,0.230769230769231,0.115384615384615,0,0,4,2,5,4,1,"e",1,35,0,NA,NA,NA,NA,0,0
"8",0.0153846153846154,0.4,0.4,0.184615384615385,0.0909090909090909,0.590909090909091,0.181818181818182,0.136363636363636,0,0,4,4,5,4,0,"g",1,47,1,NA,NA,NA,NA,0,0
"9",0.291666666666667,0.375,0.208333333333333,0.125,0.125,0.5625,0.1875,0.125,0,0,6,5,4,4,0,"g",1,58,3,NA,NA,NA,NA,0,0
"10",0.0476190476190476,0.380952380952381,0.428571428571429,0.142857142857143,0.0454545454545455,0.454545454545455,0.454545454545455,0.0454545454545455,0,0,5,5,3,5,0,"e",1,30,2,NA,NA,NA,NA,0,0
"11",0.0333333333333333,0.266666666666667,0.5,0.2,0.0344827586206897,0.379310344827586,0.448275862068966,0.137931034482759,0,0,6,6,6,6,0,"e",1,45,1,NA,NA,NA,NA,0,0
"12",0,1,0,0,0,0,1,0,0,0,4,4,5,4,1,"e",0,30,NA,0,0,1,0,0,0
"13",0.0277777777777778,0.277777777777778,0.416666666666667,0.277777777777778,0.0454545454545455,0.454545454545455,0.454545454545455,0.0454545454545455,0,0,5,5,4,5,0,"e",1,37,2,NA,NA,NA,NA,0,0
