,pri2,pri23,pri34,pri4,pos2,pos23,pos34,pos4,format2,format3,cred,info,priconfi,posconfi,negotiator,education,male,age,children,vulnerable,emerging,exporter,developed,emiter,mba
220,0.15,0.25,0.75,0.25,0.15,0.4,0.85,0.15,0,0,5,4,3,5,0,e,1,23,0,0,0,0,1,0,1
221,0.05,0.4,0.35,0.2,0.05,0.45,0.4,0.1,0,0,NA,5,4,NA,0,e,1,23,0,0,1,0,0,1,1
222,0.075,0.875,0.5,0.075,0.025,0.875,0.65,0.1,0,0,NA,6,2,2,0,d,0,24,0,0,1,1,0,1,1
223,0.05,0.2,0.6,0.15,0.05,0.45,0.45,0.05,0,0,5,5,4,4,0,d,0,25,0,0,0,0,1,1,1
224,0.525,0.325,0.075,0.025,0.425,0.425,0.125,0.025,0,0,2,3,3,4,0,d,1,24,0,0,0,0,1,1,1
225,0.1,0.65,0.8,0.05,0.1,0.75,0.85,0.2,0,0,4,2,4,4,0,d,1,21,0,0,0,0,1,1,1
226,0.1,0.8,0.05,0.05,0.025,0.5,0.5,0.025,0,0,6,7,5,7,0,e,1,25,0,0,0,0,1,1,1
227,0.05,0.73,0.48,0.14,0.05,0.85,0.6,0.15,0,0,6,6,5,5,0,d,1,23,0,0,1,1,0,1,1
228,0.02,0.275,0.75,0.75,0.03,0.35,0.85,0.9,0,0,6,5,6,5,0,e,0,23,0,0,1,1,0,1,1
229,0.5,0.775,0.28,0.13,0.35,0.68,0.475,0.17,0,0,4,4,5,5,0,e,0,23,0,0,0,0,0,1,1
230,0.27,0.9,0.7,0.26,0.27,0.75,0.6,0.4,0,0,5,4,6,5,0,d,1,28,0,0,0,0,1,0,1
231,0.12,0.67,0.57,0.22,0.18,0.77,0.53,0.4,0,0,5,5,4,4,0,d,0,26,0,0,1,0,0,1,1
232,0.8,0.9,0.8,0.5,0.75,0.9,0.75,0.55,0,0,7,6,5,5,0,d,0,23,0,NA,NA,NA,NA,NA,1
233,0.27,0.75,0.2,0.1,0.28,0.8,0.4,0.1,0,0,5,3,6,6,0,e,1,26,0,0,1,0,0,0,1
234,0.1,0.85,0.7,0.55,0.05,0.5,0.5,0,0,0,6,6,5,4,0,e,1,25,0,NA,NA,NA,NA,NA,1
235,0.35,0.45,0.2,0.2,0.2,0.6,0.1,0,0,0,5,3,5,5,0,d,1,22,0,1,0,0,0,0,1
236,0.17,0.52,0.37,0.07,0.07,0.47,0.48,0.07,0,0,6,5,3,4,0,d,1,25,0,0,0,1,1,0,1
237,0.35,0.6,0.75,0.5,0.2,0.5,0.8,0.55,0,0,4,4,5,5,0,d,0,26,0,NA,NA,NA,NA,NA,1
238,0.35,0.65,0.35,0.2,0.65,0.65,0.15,0.15,0,0,NA,NA,4,4,0,d,1,22,0,0,0,0,1,0,1
239,0.1,0.5,0.3,0.1,0.1,0.6,0.2,0.1,0,0,5,5,5,6,0,d,1,26,NA,0,0,0,1,1,1
240,0.25,0.6,0.35,0.15,0.25,0.65,0.55,0.25,0,0,3,4,3,5,0,d,1,23,0,0,0,1,1,0,1
241,0.15,0.4,0.4,0.05,0,0.45,0.45,0.1,0,0,4,3,4,5,0,d,0,23,NA,0,0,0,1,1,1
242,0,0.5,0.4,0.1,0.05,0.5,0.45,0,0,0,6,6,3,6,0,d,1,25,0,0,1,0,1,1,1
243,0.45,0.4,0.05,0,0.05,0.45,0.45,0.05,0,0,6,6,4,6,0,d,1,28,0,0,1,1,0,1,1
244,0.25,0.5,0.18,0.08,0.05,0.5,0.5,0.05,0,0,6,5,2,6,0,d,1,24,0,0,1,0,1,0,1
245,0.27,0.38,0.53,0.78,0.07,0.5,0.5,0.07,0,0,5,6,5,5,0,d,0,24,0,0,1,1,0,0,1
246,0.75,0.3,0.3,0.15,0.27,0.5,0.5,0.25,0,0,5,6,4,4,0,d,0,22,0,0,1,0,0,0,1
247,0.5,0.75,0.3,0.1,0.5,0.9,0.4,0.25,0,0,5,5,3,3,0,d,0,25,0,0,0,1,1,1,1
248,0.3,0.3,0.2,0.2,0.05,0.45,0.45,0.05,0,0,5,5,1,2,0,d,0,24,0,0,0,0,1,1,1
249,0.2,0.9,0.5,0.3,0.05,0.5,0.5,0.05,0,0,6,5,6,6,0,d,1,25,0,0,1,1,0,1,1
250,0.8,0.05,0.15,0.05,0.8,0.25,0.15,0.05,0,0,2,2,6,6,0,d,1,25,0,NA,NA,NA,NA,NA,1
251,0.27,0.37,0.78,0,0.16,0.44,0.78,0,0,0,5,4,2,3,0,d,0,22,0,0,0,0,1,1,1
252,0.27,0.37,0.62,0.67,0.27,0.37,0.62,0.67,0,0,5,5,3,3,0,d,0,25,0,0,0,0,1,1,1
253,0.3,0.75,0.3,0.3,0.1,0.25,0.7,0.3,1,0,4,5,5,5,0,e,0,25,0,0,1,0,0,0,1
254,0.85,0.1,0.05,0,0.65,0.15,0.15,0.05,0,0,4,4,6,6,0,d,1,22,0,NA,NA,NA,NA,NA,1
255,0.3,0.3,0.25,0.05,0.05,0.45,0.45,0.05,0,0,6,5,3,5,0,d,0,24,0,NA,NA,NA,NA,NA,1
256,0.15,0.25,0.6,0.8,0.15,0.3,0.75,0.9,0,0,4,6,3,6,0,d,0,24,0,NA,NA,NA,NA,NA,1
257,0.1,0.5,0.75,0.65,0.1,0.65,0.83,0.65,1,0,6,2,3,4,0,d,0,23,0,NA,NA,NA,NA,NA,1
258,0.08,0.75,0.25,0.05,0.05,0.8,0.3,0,1,0,6,5,5,6,0,d,1,25,0,NA,NA,NA,NA,NA,1
259,0.08,0.7,0.5,0.25,0.06,0.67,0.67,0.06,1,0,6,4,6,6,0,,0,NA,NA,NA,NA,NA,NA,NA,1
260,0.68,0.92,0.33,0.22,0.86,0.53,0.17,0.13,1,0,6,5,4,4,0,d,0,24,0,1,0,0,0,0,1
261,0.1,0.7,0.2,0.1,0.1,0.7,0.1,0.1,1,0,6,6,NA,5,0,d,1,33,2,NA,NA,NA,NA,NA,1
262,0.2,0.5,0.8,0.5,0.2,0.5,0,0.25,1,0,4,5,6,5,0,e,1,24,0,NA,NA,NA,NA,NA,1
263,0.02,0.27,0.57,0.77,0.02,0.22,0.72,0.48,1,0,6,4,6,6,0,d,0,25,0,NA,NA,NA,NA,NA,1
